이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
카레토스트,"식빵4장, 3일숙성카레 약간 매운맛 고형1조각, 슬라이스 치즈4장, 다진 마늘1T, 오뚜기 1/2하프 버터린1T, 다진 양파1T, 파슬리가루1t, 물75ml","첫 맛은 촉촉, 뒷 맛은 매콤! 진한 카레맛이 계속 끌리는 10분컷 카레토스트 레시피예요.

Step 1 카레소스 만들기: 전자레인지 용기에 카레, 양파, 마늘, 물을 넣고 1분간 조리 후, 잘 섞어, 1분 추가 조리한다. (700W 기준)

Step 2 식빵은 버터를 두른 팬에서 앞뒤로 노릇하게 구워 준비한다.

Step 3 식빵 한 면에 카레 소스를 골고루 바르고, 그 위에 슬라이스 치즈를 한 장씩 얹는다.

Step 4 전자레인지 조리가 가능한 접시에 3의 식빵을 얹어 1분간 조리하여 치즈를 녹이고, 토스트 위에 파슬리가루 등을 뿌려 완성한다.",분식,"채소, 유제품",기타,"스피드, 브런치, 야식, 키즈셰프, 키즈푸드",,전자레인지
계란빵,"오뚜기 핫케이크믹스1/2개[250g], 오뚜기 맛있는계란7개, 물150ml, 소금약간, 오뚜기 프레스코 카놀라유2T, 오뚜기 스위트콘30g, 오뚜기 라망 스트링치즈 파마산2개[40g], 베이컨2줄, 파슬리가루1t","추운 겨울 붕어빵과 함께 우리의 몸과 마음을 따뜻하게 녹여줬던 계란빵, 기억하시나요? 그떄의 추억을 떠올리며, 간단하면서도 맛있게 만들 수 있는 계란빵 레시피를 가져왔어요. 아이와 함께 만들어보기도 좋고, 카레가루 등 나만의 비법을 추가한다면 색다른 영양간식이 된답니다. 일반 핫케이크믹스 대신, 견과류가 들어있는 오뚜기 넛츠핫케이크믹스를 사용해도 정말 좋아요.

Step 1 핫케이크믹스에 물과 계란 1개를 섞어 반죽을 만든다.

Step 2 베이컨과 스트링치즈는 다이스한다.

Step 3 종이컵에 카놀라유를 바르고 컵의 1/3(60g)만큼씩 반죽을 나누어 담는다.

Step 4 날계란을 반죽 위에 올려 약간의 소금으로 간을 하고 노른자를 살짝 터트린다.

Step 5 베이컨과 스위트콘, 스트링치즈를 올리고 전자레인지에 3분간 조리한다.

Step 6 부풀어오른 계란빵을 1분간 식히고 전자레인지에 2분간 더 조리한다.

Step 7 파슬리가루를 뿌려 완성한다.",분식,"계란, 유제품",기타,"스피드, 브런치, 야식, 간식, 키즈셰프, 키즈푸드, 셰프의 팁! 간편식 업그레이드",,전자레인지
채식버거,"비건 빵(또는 햄버거 빵) 2개, 두부 1모(300g), 표고버섯 4개, 오뚜기 빵가루 1C, 오뚜기 튀김가루 4T, 소금 1/2t, 오뚜기 순후추 1/2t, 오뚜기 담백한 소이마요 2T, 오뚜기 토마토케챂 2T, 오뚜기 콩기름(튀김용) 적당량, 양파 1/2개, 양상추 2장, 토마토 1/2개, 오뚜기 맛있는계란 1개, 오뚜기 라망 스트링치즈 파마산 2개(40g)","아무리 건강한 음식이라도 맛있고 봐야지요! 그래서 '소이마요'로 만든 채식 버거 레시피를 자신 있게 소개해요. 유명 버거집에서는 저마다 마요소스를 시크릿 소스로 관리하고 있답니다. 버거에서 그렇게나 중요한 소스인데, 채식버거라고 마요가 빠질 수 있나요? 동물성 원료를 사용하지 않은 오뚜기 담백한 소이마요로 맛있는 버거를 만들어보세요! 참, 엄격한 채식을 하신다면 빵은 비건빵으로 사용하고 계란과 치즈는 빼고 조리해 주세요.

Step 1 두부는 곱게 으깨고 물기를 뺀다.

Step 2 표고버섯은 밑동을 제거하고 스트링치즈는 작게 찢는다.

Step 3 양파와 토마토는 편 썬다.

Step 4 물기 뺀 두부에 소금과 후추로 간을 한다. *두부의 수분을 최대한 많이 제거해야 패티를 만들기가 쉽다.

Step 5 표고버섯 사이에 스트링치즈를 넣고 두부로 감싸 두부패티를 만든다.

Step 6 두부패티를 튀김가루, 계란, 빵가루 순으로 묻혀 180도 기름에 4분간 튀긴다.

Step 7 햄버거 빵은 후라이팬에 굽고 소이마요와 케챂을 한 면씩 바른다.

Step 8 빵 위에 양상추, 튀긴 패티, 양파, 토마토 순으로 쌓아 완성한다.","분식, 기타",채소,튀김,"브런치, 간식, 도시락, 1인분, 채식",,
마늘바게트,"오뚜기 갈릭 아이올리소스 50g, 파슬리가루 약간, 오뚜기 포션버터 50g, 바게트빵 1개, 설탕 50g","마늘빵이 먹고 싶은데 사러 나가기 귀찮을 때, 집에서 간단히 만들 수 있는 마늘빵 레시피! 준비물은 정말 간단해요. 오뚜기 갈릭 아이올리소스와 설탕, 버터로 마늘 소스를 만들고, 발라 먹을 빵만 준비해 주시면 됩니다. 바게트 빵 또는 식빵으로 맛있게 만들 수 있답니다.

Step 1 그릇에 버터를 담아 700W 전자레인지에 30초간 녹인다. *전자레인지에서 오래 가열할 경우 튈 수 있으니 주의한다.

Step 2 녹은 버터에 갈릭아이올리 소스, 설탕, 파슬리가루를 넣고 잘 섞어 준다.

Step 3 바게트는 1.5cm 두께로 썰어준다. *바게트 대신 식빵으로 사용해도 좋다.

Step 4 준비한 갈릭소스를 빵에 골고루 발라준다. 180도의 에어프라이어에서 6~8분간 구워 완성한다.",분식,유제품,기타,"스피드, 브런치, 간식, 파티, 키즈셰프, 키즈푸드",,"에어프라이어, 전자레인지, 오븐"
피자 토스트,"식빵 2장, 양파 1/4개, 오뚜기 슈레드치즈 모짜렐라 2봉, 블랙올리브 3개, 오뚜기 맛있는 피자소스 4T, 오뚜기 스위트콘 1T, 파프리카 1개, 비엔나 소시지 5개","어린이와 함께 만들 수 있는, 간단하지만 맛있는 피자예요. 여러 채소와 어린이가 좋아하는 재료를 다양하게 토핑하면 알록달록한 피자가 완성돼요. 식빵 테두리를 자르거나 다양한 모양으로 예쁘게 잘라도 좋아요. 피자소스 대신, 케챂이나 스파게티소스를 사용해도 좋답니다.

Step 1 파프리카를 동그랗게 자르고, 양파는 작게 다이스하고, 비엔나 소시지는 편 썬다.

Step 2 피자소스를 식빵 위에 고르게 바른다.

Step 3 위에 치즈를 골고루 뿌린다.

Step 4 파프리카, 양파, 스위트콘, 소시지, 블랙올리브를 올리고 치즈를 위에 다시 뿌린다.

Step 5 170도 오븐에 20분간 가열해 노릇하게 익혀 완성한다.",분식,"채소, 유제품",기타,"브런치, 간식, 도시락, 키즈셰프, 키즈푸드",,"전자레인지, 오븐"
초콜릿피자,"오뚜기 냉동 사각피자 1봉, 슬라이스 아몬드 1T, 바나나 1개, 초콜릿 50g, 오뚜기 달콤한 쵸코 시럽 1T, 쵸코 파우더 1T","냉동피자X초콜릿 간단 꿀조합!! _x000D_ 이색적인 디저트 피자 어떠세요? 달콤함의 대명사 초콜릿과 짭쪼름한 치즈 사각피자를 더해 단짠단짠 초콜릿피자를 만들어 보세요. 예쁘게 썬 바나나와 슬라이스 아몬드를 더해 풍성한 식감도 추가하면, 손쉽게 특별한 피자가 완성된답니다. 어린이 간식으로도 브런치 메뉴로도 손색이 없답니다. 한 가지 더! 토마토소스 베이스의 피자보다는 고르곤졸라 피자가 더 잘 어울려요!

Step 1 초콜릿과 바나나는 얇게 슬라이스한다.

Step 2 사각피자에 초콜릿과 바나나, 슬라이스 아몬드를 올린 뒤, 오븐에서 210도로 10분간 조리한다.

Step 3 그릇에 담고 쵸코 시럽과 쵸코 파우더를 뿌려 완성한다.",분식,기타,기타,"스피드, 브런치, 야식, 간식, 1인분, 키즈셰프, 키즈푸드, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합",,"전자레인지, 오븐"
사천짜장떡볶이,"우리쌀떡볶이떡 1봉, 어묵 3장, 오뚜기 프레스코 카놀라유 2T, 양파 1/2개, 대파 1대, 물 350ml, 오뚜기 옛날 볶음참깨1t, 오뚜기 사천짜장 1/2봉, 다진 마늘 1/2T, 오뚜기 올리고당 1T, 물 약간","많은 프랜차이즈 떡볶이 가게가 생긴 요즘, 가끔은 학교 앞 분식집에서 먹던 짜장 떡볶이가 생각날 때가 있지 않으신가요? 그럴때는 오뚜기 사천짜장 분말로 아주 간단하고도 맛있는 짜장 떡볶이를 만들어보세요. 과정이 쉬워서 뚝딱 만들어내면, 한 끼 걱정은 간단하게 해결할 수 있어요. 사천짜장의 매콤한 맛이 덕분에 느끼하지 않고, 쉽게 질리지도 않는 맛있는 짜장떡볶이랍니다.

Step 1 양파는 굵게 채 썰고 대파는 송송 썰고 어묵은 적당한 크기로 자른다.

Step 2 사천짜장 분말은 약간의 물을 섞어 풀고 다진 마늘, 올리고당을 섞어 소스를 만든다.

Step 3 후라이팬에 카놀라유를 두르고 대파 절반과 어묵을 볶는다.

Step 4 고소한 향이 올라오면 물과 소스, 떡을 넣고 끓인다.

Step 5 양파와 나머지 대파를 넣어 3분간 끓이고 깨를 뿌려 완성한다.",분식,채소,볶음,"스피드, 야식, 간식, 캠핑",,후라이팬
마늘떡볶이,"뚜기네 분식집 국물떡볶이 1개,오뚜기 프레스코 카놀라유 4T, 마늘 6톨, 다진 마늘 2T, 어묵 2장, 물 300ml, 대파 1/4대","떡볶이 X 마늘 간단 꿀조합!! _x000D_ 뚜기네분식집 떡볶이의 놀라운 변신! 떡볶이와 마늘의 궁합이 이렇게 좋을 줄이야~!_x000D_ 잘 익힌 마늘이 더해져서 더욱 깊은 맛이 나는 프리미엄 떡볶이를 소개합니다._x000D_ 친근하면서도 이색적인 떡볶이를 만들어 보아요.

Step 1 대파와 마늘을 편썬다.

Step 2 편 썬 마늘은 약불에서 색이 날정도로 튀기고 기름을 뺀다.

Step 3 어묵을 먹기 좋은 크기로 자른다.

Step 4 후라이팬에 카놀라유를 두르고 다진마늘과 어묵을 볶다가 국물떡볶이 재료(떡, 소스, 건조어묵, 물)를 넣어 5분간 끓인다.

Step 5 그릇에 담고 대파와 튀긴 마늘을 올려 완성한다.",분식,기타,볶음,"야식, 간식, 키즈푸드, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합",,후라이팬
돈까스샌드위치,"오뚜기 등심돈까스 1봉, 식빵 10장, 양배추 5장, 오뚜기 돈까스소스 15T, 오뚜기 골드마요네스 10T, 오뚜기 토마토케챂 3T, 튀김용 기름 적당양","돈까스를 새로운 방식으로 즐기실 수 있는 돈까스샌드위치예요. 갓 튀겨서 육즙 풍부한 돈까스 위에 케챂과 마요네스로 버무린 양배추를 올리고, 돈까스소스 바른 식빵으로 덮으면 완성! 간단하게 만들어 아이들 간식으로도 좋고, 도시락메뉴로도 참 좋아요.

Step 1 돈까스를 콩기름에 노릇하게 튀긴다.

Step 2 양배추를 잘게 썰고 마요네스(5T)와 케챂을 넣어 샐러드를 만든다.

Step 3 식빵 한 면에 마요네스(1T)를 바르고 튀긴 돈까스를 올린다.

Step 4 돈까스 위에 돈까스소스(2T)를 바르고 만든 샐러드를 얹는다.

Step 5 식빵 한 면에 돈까스소스(1T)를 바르고 샐러드 위를 덮어 샌드위치를 완성한다.","분식, 기타","돼지고기, 채소",튀김,"브런치, 간식, 도시락, 키즈푸드, 셰프의 팁! 간편식 업그레이드",,기타
닭가슴살 스낵랩,"오뚜기 정통 밀또띠아 2장, 닭가슴살 100g, 양배추 2장, 당근 1/3개, 오이 1/3개, 오뚜기 코울슬로드레싱 4T","닭가슴살과 풍성하게 넣은 채소로 건강하면서도 맛있게 즐길 수 있는 인기 만점 간식이에요. 아이들 간식으로도 좋고, 바쁜 아침 간단하게 해먹기도 좋은 레시피랍니다. 코울슬로드레싱 대신 홀그레인 머스타드, 갈릭아이올리, 타바스코 스리라차 등 다양한 소스를 사용하면 또 다른 매력을 느낄 수 있어요.

Step 1 양배추, 오이, 당근은 얇게 채 썬다.

Step 2 닭가슴살은 끓는 물에 10분간 익히고 먹기 좋은 크기로 찢는다. * 이때 오뚜기 미향을 넣고 끓이면 닭 잡내 제거에 더욱 효과적이다

Step 3 후라이팬에 또띠아를 살짝 굽는다.

Step 4 구운 또띠아에 코울슬로드레싱을 바른다.

Step 5 드레싱을 바른 또띠아 위에 닭가슴살과 채소들을 넣고 말아 완성한다.",분식,"닭고기, 채소",기타,"스피드, 브런치, 간식, 도시락, 파티, 키즈셰프, 키즈푸드",,후라이팬
까르보나라 떡볶이,"오뚜기 크림스프 40g, 우리쌀 떡볶이떡 200g, 물 250ml, 양파 1/4개, 브로콜리 1/8개, 파마산치즈가루 1T, 베이컨 4줄, 우유 100ml, 마늘 2톨","생크림 없이 맛있는 까르보나라 떡볶이를 만들 수 있을까요? 오뚜기 크림스프 분말이 있다면 가능해요! 활용 방법이 무궁무진한 스프로 꾸덕꾸덕한 까르보나라를 손쉽게 만들어 보세요. 떡볶이떡 대신 스파게티를 삶아 넣으면 까르보나라 파스타가 된답니다.

Step 1 떡볶이떡이 말랑해질 때까지 미지근한 물에 불린다.

Step 2 양파는 채 썰고, 마늘은 편 썬다. 베이컨은 한입 크기로 자른다.

Step 3 후라이팬에 베이컨과 마늘을 볶고 양파를 볶는다.

Step 4 크림스프, 우유, 물을 넣고 뭉치지 않게 잘 저어 푼다.

Step 5 떡볶이떡과 브로콜리, 파마산치즈가루를 넣고 5분 가열해 완성한다.",분식,"채소, 유제품",볶음,"브런치, 야식, 간식, 캠핑, 파티, 키즈푸드, 셰프의 팁! 간편식 업그레이드",,후라이팬
창녕갈릭 양배추 샐러드,"양배추 100g, 창녕갈릭소이소스 25g","조금 색다른 양배추 샐러드를 즐기고 싶을 때 창녕갈릭소스를 활용한 담백하고 짭잘한 양배추 샐러드를 추천합니다. 삼겹살구이와 함께 먹었을 때 삼겹살의 느끼함을 확실하게 잡아 주어 환상의 궁합이에요. 돈가스, 치킨과 같은 튀김류에 곁들여 먹어도 좋습니다.

Step 1 양배추를 씻은 후 물기를 제거 한다.

Step 2 양배추를 한 겹씩 떼어낸 후 돌돌 말아준다.

Step 3 돌돌 말아준 양배추는 가늘게 채 썰어준다.

Step 4 채 썬 양배추를 그릇에 담고 위에 창녕갈릭소이소스를 고르게 뿌려 완성한다.",샐러드,채소,"무침·비빔, 기타","스피드, 브런치, 냉장고털이, 도시락, 채식",,기타
창녕갈릭 닭가슴살 샐러드,"양상추 및 로메인 60g, 파프리카 1/2개, 방울토마토 3개, 닭가슴살 60g, 창녕갈릭소이소스 25g, 슬라이스 올리브 약간","다이어트 식단으로 많이 먹는 닭가슴 살을 쉽고 맛있게 먹는 방법을 소개합니다. 몸에 좋은 채소를 그릇에 가득 담고, 노릇하게 구운 닭가슴살 창녕마늘이 듬뿍 들어간 창녕갈릭소이소스로 샐러드를 준비해보세요. 든든한 한끼로도 손색 없답니다.

Step 1 잘 씻은 양상추와 로메인은 손으로 찢어 한입 크기로 준비한다.

Step 2 파프리카는 채 썰고 방울토마토는 반으로 자른다.

Step 3 냉동 닭가슴살을 에어프라이어에 180℃ 20분 돌려준 후 한입 크기로 자른다.

Step 4 후라이팬에 식용유를 소량 두르고 예열 후 자른 닭가슴살이 노릇해질 때까지 구워준다.",샐러드,닭고기,"무침·비빔, 기타","스피드, 브런치, 도시락, 다이어트요린이를 위하여",,기타
케이준치킨샐러드,"오즈키친 크리스피치킨1/2봉(250g), 허니머스타드3T(40g), 홀그레인머스타드3T(40g), 양상추1/2개(170g), 치커리4장(25g), 방울토마토5개(80g), 파프리카1개(100g), 골드마요네스4T(60g), 올리고당4T(60g), 사과식초1T(5g)","Step 1 양상추와 치커리는 깨끗하게 손질하고 먹기 좋은 사이즈로 자른다.

Step 2 파프리카는 한 입 크기로 자르고 방울토마토는 반으로 슬라이스한다.

Step 3 크리스피치킨은 에어프라이어 180도에 12분간 조리하고 한 입 크기로 자른다.

Step 4 허니머스타드, 홀그레인머스타드, 올리고당, 골드마요네스, 사과식초를 섞어 소스를 만든다.

Step 5 조리한 크리스피치킨에 소스를 잘 버무리고 야채와 함께 섞어 완성한다.

Step 6",샐러드,닭고기,무침·비빔,"스피드, 간식",생일,에어프라이어
유자고구마샐러드,"고구마 2개, 방울토마토 2개. 양파 1/6개, 샐러리 ½대, 아임스틱 유자차 2EA, 오뚜기 프레스코 올리브유 2T, 소금 1/2t, 부라타치즈 1개","Step 1 고구마를 에어프라이어 180도 30분 굽고 껍질을 벗긴다. ( 오븐: 200도 25분 )

Step 2 방울토마토와 양파, 샐러리를 작게 다이스한다. 작게 다이스한 재료를 올리브유와 유자차, 소금을 더해 소스를 만든다.

Step 3 접시에 반으로 자른 구운 고구마를 올리고 부라타치즈를 찢어 올린 후 소스를 더해 완성한다.",샐러드,,기타,"스피드, 브런치, 1인분",,기타
